No. ,Orgin date,Longitude(E),Latitude(N),Magnitude,Depth,Location
Small area,2024-05-20 15:56:03,122.341,24.0422,4.8,24.3,24.04N 122.34E, i.e. 73.5 km E of Hualien County(24.04N 122.34E, i.e. 73.5 km E of Hualien County)
Small area,2024-05-20 06:19:16,121.694,24.0405,3.3,21.7,24.04N 121.69E, i.e. 9.3 km NE of Hualien County(24.04N 121.69E, i.e. 9.3 km NE of Hualien County)
395   ,2024-05-20 04:35:41,120.514,23.2362,4.3,17,23.24N 120.51E, i.e. 43.2 km NE of Tainan City(23.24N 120.51E, i.e. 43.2 km NE of Tainan City)
394   ,2024-05-19 21:52:06,121.761,24.0668,4.4,27.9,24.07N 121.76E, i.e. 16.6 km ENE of Hualien County(24.07N 121.76E, i.e. 16.6 km ENE of Hualien County)
Small area,2024-05-19 19:22:31,121.82,24.2835,3.9,8.5,24.28N 121.82E, i.e. 38.2 km NE of Hualien County(24.28N 121.82E, i.e. 38.2 km NE of Hualien County)
Small area,2024-05-19 17:50:24,121.732,24.178,3.3,13.4,24.18N 121.73E, i.e. 23.6 km NNE of Hualien County(24.18N 121.73E, i.e. 23.6 km NNE of Hualien County)
Small area,2024-05-19 16:23:52,121.437,23.6842,3.6,6.8,23.68N 121.44E, i.e. 38.8 km SSW of Hualien County(23.68N 121.44E, i.e. 38.8 km SSW of Hualien County)
Small area,2024-05-19 16:18:09,121.71,24.0627,3.6,30.8,24.06N 121.71E, i.e. 12.1 km NE of Hualien County(24.06N 121.71E, i.e. 12.1 km NE of Hualien County)
393   ,2024-05-19 10:55:21,121.769,24.1902,4.3,19.9,24.19N 121.77E, i.e. 26.8 km NE of Hualien County(24.19N 121.77E, i.e. 26.8 km NE of Hualien County)
Small area,2024-05-19 02:00:29,121.856,23.7955,4.5,12.5,23.80N 121.86E, i.e. 32.3 km SE of Hualien County(23.80N 121.86E, i.e. 32.3 km SE of Hualien County)
Small area,2024-05-18 18:21:36,121.621,23.8287,3.9,36.2,23.83N 121.62E, i.e. 18.0 km S of Hualien County(23.83N 121.62E, i.e. 18.0 km S of Hualien County)
